County,2000,2001,2002,2003,2004,sum
IA:_Montgomery_County,0,0,0,0,1,1
IA:_Muscatine_County,2,4,1,3,3,13
IA:_OBrien_County,0,0,3,0,0,3
IA:_Osceola_County,1,1,0,0,0,2
IA:_Page_County,5,0,2,1,1,9
IA:_Palo_Alto_County,2,1,0,1,3,7
IA:_Plymouth_County,1,7,2,2,2,14
IA:_Pocahontas_County,2,0,5,0,0,7
IA:_Polk_County,25,21,24,25,25,120
IA:_Pottawattamie_County,3,3,9,3,7,25
IA:_Poweshiek_County,3,4,0,3,1,11
IA:_Ringgold_County,0,3,0,1,0,4
IA:_Sac_County,0,1,2,1,1,5
IA:_Scott_County,8,16,15,13,7,59
IA:_Shelby_County,0,1,3,0,1,5
IA:_Sioux_County,1,1,2,4,2,10
IA:_Story_County,5,5,6,0,7,23
IA:_Tama_County,2,0,1,6,1,10
IA:_Taylor_County,1,1,0,1,0,3
IA:_Union_County,0,2,0,0,2,4
IA:_Van_Buren_County,0,1,0,1,2,4
IA:_Wapello_County,3,1,6,1,0,11
IA:_Warren_County,1,5,2,3,3,14
IA:_Washington_County,4,2,1,1,4,12
IA:_Wayne_County,1,1,0,0,0,2
IA:_Webster_County,1,1,1,4,4,11
IA:_Winnebago_County,2,0,0,0,1,3
IA:_Winneshiek_County,3,0,0,1,2,6
IA:_Woodbury_County,6,8,10,7,5,36
IA:_Worth_County,0,0,1,1,1,3
IA:_Wright_County,1,1,2,1,1,6
KY:_Adair_County,2,1,0,0,1,4
KY:_Allen_County,0,1,1,2,1,5
KY:_Anderson_County,2,0,1,1,1,5
KY:_Ballard_County,1,1,1,1,0,4
KY:_Barren_County,1,2,5,2,3,13
KY:_Bath_County,0,2,0,1,1,4
KY:_Bell_County,0,4,2,3,2,11
KY:_Boone_County,3,8,4,6,7,28
KY:_Bourbon_County,2,0,1,1,2,6
KY:_Boyd_County,3,5,3,3,2,16
KY:_Boyle_County,0,1,2,3,0,6
KY:_Bracken_County,0,0,1,0,1,2
KY:_Breathitt_County,2,2,2,0,1,7
KY:_Breckinridge_County,0,0,0,2,3,5
KY:_Bullitt_County,3,6,3,12,7,31
KY:_Butler_County,0,0,2,0,2,4
KY:_Caldwell_County,2,2,0,1,3,8
KY:_Calloway_County,3,1,2,5,1,12
KY:_Campbell_County,14,3,4,2,3,26
KY:_Carlisle_County,0,0,0,0,0,0
KY:_Carroll_County,0,0,0,0,1,1
KY:_Carter_County,3,1,4,2,3,13
KY:_Casey_County,2,1,1,0,0,4
KY:_Christian_County,2,1,4,3,3,13
KY:_Clark_County,1,5,0,1,2,9
KY:_Clay_County,3,2,1,0,0,6
KY:_Clinton_County,2,0,1,1,1,5
KY:_Crittenden_County,0,1,0,0,1,2
KY:_Cumberland_County,0,0,1,0,1,2
KY:_Daviess_County,10,4,13,11,12,50
